run:
Threads number:1	Trace time, ms:2722
Threads number:2	Trace time, ms:1599
Threads number:3	Trace time, ms:1415
Threads number:4	Trace time, ms:1415
Threads number:5	Trace time, ms:1394
Threads number:6	Trace time, ms:1380
Threads number:7	Trace time, ms:1378
Threads number:8	Trace time, ms:1363
Threads number:9	Trace time, ms:1416
Threads number:10	Trace time, ms:1479
Threads number:11	Trace time, ms:1369
Threads number:12	Trace time, ms:1408
Threads number:13	Trace time, ms:1362
Threads number:14	Trace time, ms:1378
Threads number:15	Trace time, ms:1422
Threads number:16	Trace time, ms:1355
Threads number:17	Trace time, ms:1391
Threads number:18	Trace time, ms:1361
Threads number:19	Trace time, ms:1379
Threads number:20	Trace time, ms:1361
Threads number:21	Trace time, ms:1402
Threads number:22	Trace time, ms:1369
Threads number:23	Trace time, ms:1380
Threads number:24	Trace time, ms:1380
Threads number:25	Trace time, ms:1366
Threads number:26	Trace time, ms:1370
Threads number:27	Trace time, ms:1381
Threads number:28	Trace time, ms:1370
Threads number:29	Trace time, ms:1389
Threads number:30	Trace time, ms:1356
Threads number:31	Trace time, ms:1372
Threads number:32	Trace time, ms:1373
Threads number:33	Trace time, ms:1389
Threads number:34	Trace time, ms:1366
Threads number:35	Trace time, ms:1376
Threads number:36	Trace time, ms:1361
Threads number:37	Trace time, ms:1387
Threads number:38	Trace time, ms:1362
Threads number:39	Trace time, ms:1370
Threads number:40	Trace time, ms:1394
Threads number:41	Trace time, ms:1396
Threads number:42	Trace time, ms:1373
Threads number:43	Trace time, ms:1365
Threads number:44	Trace time, ms:1373
Threads number:45	Trace time, ms:1383
Threads number:46	Trace time, ms:1370
Threads number:47	Trace time, ms:1366
Threads number:48	Trace time, ms:1377
Threads number:49	Trace time, ms:1369
Threads number:50	Trace time, ms:1373
Threads number:51	Trace time, ms:1370
Threads number:52	Trace time, ms:1380
Threads number:53	Trace time, ms:1371
Threads number:54	Trace time, ms:1373
Threads number:55	Trace time, ms:1359
Threads number:56	Trace time, ms:1390
Threads number:57	Trace time, ms:1363
Threads number:58	Trace time, ms:1361
Threads number:59	Trace time, ms:1371
Threads number:60	Trace time, ms:1371
Threads number:61	Trace time, ms:1384
Threads number:62	Trace time, ms:1387
Threads number:63	Trace time, ms:1377
Threads number:64	Trace time, ms:1373
Threads number:65	Trace time, ms:1377
Threads number:66	Trace time, ms:1380
Threads number:67	Trace time, ms:1378
Threads number:68	Trace time, ms:1374
Threads number:69	Trace time, ms:1377
Threads number:70	Trace time, ms:1370
Threads number:71	Trace time, ms:1384
Threads number:72	Trace time, ms:1388
Threads number:73	Trace time, ms:1382
Threads number:74	Trace time, ms:1376
Threads number:75	Trace time, ms:1391
Threads number:76	Trace time, ms:1390
Threads number:77	Trace time, ms:1373
Threads number:78	Trace time, ms:1374
Threads number:79	Trace time, ms:1370
Threads number:80	Trace time, ms:1371
Threads number:81	Trace time, ms:1375
Threads number:82	Trace time, ms:1373
Threads number:83	Trace time, ms:1376
Threads number:84	Trace time, ms:1410
Threads number:85	Trace time, ms:1383
Threads number:86	Trace time, ms:1388
Threads number:87	Trace time, ms:1384
Threads number:88	Trace time, ms:1388
Threads number:89	Trace time, ms:1373
Threads number:90	Trace time, ms:1380
Threads number:91	Trace time, ms:1380
Threads number:92	Trace time, ms:1378
Threads number:93	Trace time, ms:1378
Threads number:94	Trace time, ms:1379
Threads number:95	Trace time, ms:1380
Threads number:96	Trace time, ms:1378
Threads number:97	Trace time, ms:1376
Threads number:98	Trace time, ms:1381
Threads number:99	Trace time, ms:1377
Threads number:100	Trace time, ms:1384
BUILD SUCCESSFUL (total time: 46 minutes 31 seconds)
